Cidade;Atendimento
Abadia dos Dourados;Dias Alternados
Abaete;Dias Alternados
Abre Campo;Dias Alternados
Agua Boa;Dias Alternados
Águas Formosas;Dias Alternados
Águas Vermelhas;Semanalmente
Aiuruoca;Dias Alternados
Alem Paraiba;Dias Alternados
Alfenas;Dias Alternados
Almenara;Dias Alternados
Alpinopolis;Dias Alternados
Alterosa;Dias Alternados
Alto Jequitibá;Semanalmente
Alto Rio Doce;Semanalmente
Alvinopolis;Dias Alternados
Andradas;Dias Alternados
Andrelandia;Dias Alternados
Antônio Carlos;Dias Alternados
Antônio Dias;Semanalmente
Aracuai;Dias Alternados
Araçuaí;Dias Alternados
Araguari;Dias Alternados
Araporã;Dias Alternados
Araujos;Dias Alternados
Araújos;Dias Alternados
Araxá;Dias Alternados
Arceburgo;Dias Alternados
Arcos;Dias Alternados
Areado;Dias Alternados
Astolfo Dutra;Dias Alternados
Ataléia;Dias Alternados
Augusto De Lima;Dias Alternados
Baependi;Dias Alternados
Bambuí;Dias Alternados
Bandeira do Sul;Dias Alternados
Barão de Cocais;Dias Alternados
Barbacena;Dias Alternados
Barroso;Dias Alternados
Bela Vista de Minas;Semanalmente
Belo Horizonte;Diariamente
Belo Oriente;Dias Alternados
Belo Vale;Dias Alternados
Berilo;Dias Alternados
Betim;Dias Alternados
Bicas;Dias Alternados
Boa Esperança;Dias Alternados
Bocaiúva;Dias Alternados
Bom Despacho;Dias Alternados
Bom Jardim de Minas;Dias Alternados
Bom Jesus da Penha;Dias Alternados
Bom Jesus do Galho;Semanalmente
Bom Repouso;Dias Alternados
Bom Sucesso;Dias Alternados
Bonfim;Dias Alternados
Bonfinópolis de Minas;Dias Alternados
Borda da Mata;Dias Alternados
Botelhos;Dias Alternados
Brasilândia de Minas;Dias Alternados
Brasília de Minas;Dias Alternados
Brasopolis;Dias Alternados
Brazópolis;Dias Alternados
Brumadinho;Dias Alternados
Bueno Brandão;Dias Alternados
Buenópolis;Dias Alternados
Buritizeiro;Dias Alternados
Cabo Verde;Dias Alternados
Cachoeira da Prata;Dias Alternados
Cachoeira da Prata;Semanalmente
Cachoeira de Minas;Dias Alternados
Cachoeira de Pajeú;Semanalmente
Caetanopolis;Dias Alternados
Caetanópolis;Dias Alternados
Caeté;Dias Alternados
Caldas;Dias Alternados
Camanducaia;Dias Alternados
Cambuí;Dias Alternados
Cambuquira;Dias Alternados
Campanário;Semanalmente
Campanha;Dias Alternados
Campestre;Dias Alternados
Campina Verde;Dias Alternados
Campo Belo;Dias Alternados
Campo do Meio;Dias Alternados
Campo Florido;Dias Alternados
